Post_url,Image_BaseName,description,commentCount,likeCount,type,pubDate,year,month,Google_Vision_label,text_category,visual_cluster,BERTopic_cluster_id
https://www.instagram.com/p/BRCirTJgMbv/,16789563_1884168278490803_4004289217986297856_n.jpg,‪Thank you to the great presidents of our #HBCUs for their commitment to higher #education. Read more here: https://www.whitehouse.gov/the-press-office/2017/02/27/icymi-president-trump-seeks-outdo-obama-backing-black-colleges‬,2723,132115,Photo,2017-02-28T03:11:26.000Z,2017,2,Clothing; Outerwear; Property; Coat; Couch; Dress; Interior design; Lighting; Architecture; Suit,education,summits and negotiations,106
https://www.instagram.com/p/BX02qJRgtIz/,20904977_111527059550057_3359463018806116352_n.jpg,We're fulfilling another campaign promise by taking firm steps to PROTECT the intellectual property of American companies and American workers. #AmericaFirst #USA,10579,66439,Photo,2017-08-15T19:16:26.000Z,2017,8,Clothing; Tie; Coat; Sharing; Font; Suit; Formal wear; White-collar worker; Blazer; Event,economy,official setting,88
https://www.instagram.com/p/Bjnje97A76t/,33198935_577232162676483_1126050630129942528_n.jpg,#500DaysOfAmericanGreatness #AmericaFirst #USA,3074,131023,Photo,2018-06-04T21:35:29.000Z,2018,6,Font; Electric blue; Number; Terrestrial plant; Rectangle; Slope; Parallel,economy,posters and screenshots,49
https://www.instagram.com/p/BRbPhx-A1r_/,17076343_191496461341884_3408504913896931328_n.jpg,"Despite what you hear in the press, #healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture! #USA #Health #Doctors #Medical #RepealAndReplace #Obamacare",2192,82789,Photo,2017-03-09T17:25:07.000Z,2017,3,World; Organism; Gesture; Font; Sky; Happy; Electric blue; Logo; Output device; Brand,healthcare,posters and screenshots,23
,12965749_1117953391558348_1490021604_n.jpg,"Join us at a #Trump2016 rally near you! Updated daily at www.DonaldJTrump.com under the ""schedule"" tab. Thank you for your continued support! (Rally in #Albany, #NewYork)",10613,27720,Video,2016-04-13T21:20:39.000Z,2016,4,Entertainment; Fan; Crowd; Community; Fun; Event; Suit; Audience; Leisure; Public event,#N/A,#N/A,#N/A
https://www.instagram.com/p/BknT-jigB8m/,36149533_163657497828950_3576990403540287488_n.jpg,"#TeamTrumpBTS
‪🚨Happening Now: President Trump’s Intelligence Briefing underway in the Oval...‬",1667,81547,Photo,2018-06-29T15:51:23.000Z,2018,6,Furniture; Table; Picture frame; Property; Chair; Houseplant; Flag; Coat; Interior design; Curtain,president_life,summits and negotiations,37
https://www.instagram.com/p/CDFJfZxByeD/,110752157_1671525113013075_1833990920861300580_n.jpg,,29690,1273432,Photo,2020-07-25T21:38:47.000Z,2020,7,Sky; Cloud; Golf; Polo shirt; Golf equipment; Golfer; Golf club; Smile; Professional golfer; Sports equipment,#N/A,outdoors,#N/A
https://www.instagram.com/p/B6wR0PeBXNN/,79755369_199368571108376_6445836399307194308_n.jpg,#2019 🇺🇸🇺🇸🇺🇸🇺🇸,2502,161147,Photo,2019-12-31T22:56:20.000Z,2019,12,Smile; Outerwear; Property; Coat; Podium; Tie; Suit; Lectern; Community; Real estate,other,official setting,10
https://www.instagram.com/p/BoKE9FHA-PI/,41463869_2137311313197642_5819443656449849478_n.jpg,“Remarks by President Trump to the 73rd Session of the United Nations General Assembly” ➡️45.wh.gov/LeUYsH,3068,112870,Photo,2018-09-25T17:27:42.000Z,2018,9,Clothing; Chair; Lighting; Coat; Podium; Suit; Interior design; Projection screen; Entertainment; Musical instrument accessory,international_relations,rallies and public events,63
https://www.instagram.com/p/B5slhe7BFlF/,75467890_187408815769906_6407075545445501054_n.jpg,THANK YOU! #MAGA🇺🇸,10500,462353,Photo,2019-12-05T16:00:11.000Z,2019,12,Shirt; World; Product; T-shirt; Jersey; Sports jersey; Hat; Gesture; Fan; Font,other,rallies and public events,10
https://www.instagram.com/p/BqvwIoXFJrX/,44847259_336738687150808_7172209142649461624_n.jpg,"#Repost @laraleatrump
・・・
#NationalChristmasTreeLighting ☺️🎄",1870,152110,Photo,2018-11-29T01:39:43.000Z,2018,11,Face; Smile; Skin; Outerwear; Hairstyle; Eye; Eyebrow; Facial expression; Product; Organ,greetings_condolences,unofficial setting,14
https://www.instagram.com/p/CDfDAcABLuP/,116963987_298330991582438_42311391917767566_n.jpg,Great meeting today with the CoronaVirus Task Force in the Oval Office. Stay informed at: CoronaVirus.gov.,10610,386692,Photo,2020-08-04T23:02:23.000Z,2020,8,Clothing; Outerwear; Chair; Coat; Flag; Suit; Tie; Table; Spokesperson; Event,#N/A,summits and negotiations,#N/A
https://www.instagram.com/p/BR6ph_3gOkw/,17439240_707475439416021_2004657950840324096_n.jpg,"#Repost @ivankatrump
・・・
Meet Maria Martinez, Founder and CEO of Respira Inc., one of the largest providers of clinical respiratory and sleep services and home medical equipment. Maria's company was born out of a shelter for women victims of domestic violence. She was determined to start her company to support people like her father, who suffer from respiratory illnesses. Maria, you inspire me! Thank you for sharing your story. #USHCC #WomensEmpowerment #WomensHistoryMonth #Latergram",28278,134388,Photo,2017-03-21T22:08:48.000Z,2017,3,Smile; Sleeve; Standing; Happy; Gesture; Waist; Thigh; Fashion design; Friendship; Event,healthcare,unofficial setting,52
,26222447_2008631955818743_7965515667933757440_n.jpg,"Video 2 of 2 via @FoxNews: Together, WE are MAKING AMERICA SAFE and GREAT AGAIN! #USA",947,40301,Video,2018-01-21T02:28:34.000Z,2018,1,Brown; Product; Font; Material property; Rectangle; Brand; Graphics; Pattern; Electric blue; Event,#N/A,#N/A,#N/A
https://www.instagram.com/p/BfbtbGggIEJ/,27880465_406902003055711_5203757005461782528_n.jpg,"MEDAL OF VALOR-

To the heroes we are celebrating today: WELCOME to the White House. And to the families who are here with you – each of you also serves and sacrifices for your country. So thank you all. We are gathered here today to recognize 12 extraordinary law enforcement officers and first responders, and to award them the MEDAL OF VALOR.",4339,84703,Photo,2018-02-20T21:05:52.000Z,2018,2,Outerwear; Coat; Curtain; Chair; Suit; Flag; Formal wear; Crowd; Event; Tie,military,summits and negotiations,15
https://www.instagram.com/p/BhSPLbxAvDI/,30076407_1863326047013023_1276002884919492608_n.jpg,"#Repost @foxnews
・・・
Earlier today, President @realDonaldTrump tweeted about bolstering security at our southern border.",6541,153200,Photo,2018-04-07T21:51:13.000Z,2018,4,World; Human; Coat; Tie; Font; Suit; Microphone; Adaptation; Blazer; Poster,border,official setting,104
https://www.instagram.com/p/B7Hz4MyBBmx/,80471600_169705867725202_7119942437353816529_n.jpg,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #KAG2020 #MAGA",12280,410762,Photo,2020-01-10T02:16:30.000Z,2020,1,Product; World; Fan; Gesture; Player; Field house; Red; Hat; T-shirt; Championship,election,rallies and public events,11
https://www.instagram.com/p/B74r82pBfjh/,82975951_100247964866344_4524273770178521769_n.jpg,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #TrumpRallyNJ #KAG2020",3777,252229,Photo,2020-01-29T01:50:01.000Z,2020,1,Shirt; Hat; Fan; Dress; Shorts; Font; Jersey; T-shirt; Crowd; Competition event,election,rallies and public events,11
https://www.instagram.com/p/BjwzvCBAUiP/,34011991_217683959017724_260547873114947584_n.jpg,"Congratulations to the Washington Capitals on their GREAT play and winning the Stanley Cup Championship. Alex Ovechkin, the team captain, was spectacular - a true Superstar! D.C. is popping, in many ways. What a time! 📸AP",1937,181925,Photo,2018-06-08T11:50:39.000Z,2018,6,Sports uniform; Photograph; Sports jersey; White; World; Product; Sports gear; Jersey; Gesture; Football equipment,military,rallies and public events,26
https://www.instagram.com/p/BOzfDB5DE86/,15802385_365879720435991_7968412056439226368_n.jpg,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,5353,129487,Photo,2017-01-03T13:48:20.000Z,2017,1,Jaw; Font; Screenshot; Terrestrial plant; Number; Circle,economy,posters and screenshots,111
,68834873_650017918825261_8126455267095441988_n.jpg,"#Repost @whitehouse
・・・
President @realdonaldtrump: ""I ask everyone in Hurricane Dorian’s path to heed all warnings and evacuation orders from local authorities.“",2422,105587,Video,2019-09-01T18:59:00.000Z,2019,9,Microphone; Table; Furniture; Flag of the united states; Spokesperson; Desk; Flag; Blazer; Public speaking; Suit,#N/A,#N/A,#N/A
https://www.instagram.com/p/BVZtmUrAJ2v/,19120231_1565907253480724_9136169962929389568_n.jpg,"After 7 months of investigations & committee hearings about my ""collusion with the Russians,"" nobody has been able to show any proof. Sad!",1984,82009,Photo,2017-06-16T13:14:59.000Z,2017,6,Font; Circle; Logo; Graphics; Terrestrial plant; Brand; Photo caption; Graphic design; Darkness; Event,election,posters and screenshots,0
,71741432_2434789350173017_1654835103437575798_n.jpg,95% Approval Rating in the Republican Party. Thank you!,7060,213106,Video,2019-11-06T01:03:20.000Z,2019,11,Forehead; Cheek; Eyebrow; Dress shirt; Collar; White-collar worker; Event; Eyelash; Portrait photography; Job,#N/A,#N/A,#N/A
https://www.instagram.com/p/BsgqF4Kldop/,47690862_311562519476297_5731746805628123960_n.jpg,THANK YOU to all of our LAW ENFORCEMENT HEROES at the Southern Border. We love you!,4773,377228,Photo,2019-01-11T22:01:05.000Z,2019,1,Sky; Vehicle; Aircraft; Rotorcraft; Helicopter; Military helicopter; Helicopter rotor; Aviation; Military aircraft; Air travel,#N/A,vehicles,#N/A
https://www.instagram.com/p/BWiQSxIA4l9/,20066553_1900036943597984_6362572412084551680_n.jpg,"America and #France will never be defeated or divided. #BastilleDay&nbsp;#USA 
45.wh.gov/HR4k3W",1677,230840,Photo,2017-07-14T17:23:28.000Z,2017,7,Sky; Plant; Cloud; World; Nature; Infrastructure; Tree; Architecture; Flag; Line,military,outdoors,36
https://www.instagram.com/p/BMwvIgaj_QB/,14553156_1727437297576788_6157102284745474048_n.jpg,"#Repost @ivankatrump
・・・
My family sat down for our first interview post-election with @60minutes. Tune in at 7pm EST to watch!",9815,199535,Photo,2016-11-13T19:08:22.000Z,2016,11,Outerwear; Chair; Interaction; Suit; Tie; Coffee table; Leisure; Fashion design; Event; Music,president_life,summits and negotiations,19
https://www.instagram.com/p/BpFys9BAL4c/,43247644_244774063061913_6845610403268332780_n.jpg,On my way to the great state of #Montana!,1849,167475,Photo,2018-10-18T22:02:39.000Z,2018,10,Tire; Trousers; Wheel; Motor vehicle; Vehicle; Automotive tire; Mode of transport; Workwear; Automotive exterior; Military person,election,vehicles,110
https://www.instagram.com/p/CCNfqAABgax/,106279670_165002398404775_8631173276228347436_n.jpg,,26437,1680221,Photo,2020-07-04T06:55:00.000Z,2020,7,Cloud; Sky; World; Azure; Temple; Sculpture; Terrain; Bedrock; Art; Formation,#N/A,outdoors,#N/A
https://www.instagram.com/p/BZ_cMe1gwMS/,22344766_1630342213707344_5276594986467459072_n.jpg,Via #Twitter re: #Tennessee #Senator #BobCorker.,13397,90693,Photo,2017-10-08T14:59:37.000Z,2017,10,Flag; Smile; Tie; Gesture; Microphone; Suit; Spokesperson; News; Blazer; Flag of the united states,election,official setting,28
https://www.instagram.com/p/BUnkN-wAfFL/,18645589_931383560336494_399600175217115136_n.jpg,"#Repost @flotus
・・・
.@Potus & I are heading home after a very successful first International trip. Thank you to all of the host nations for your hospitality!",4469,127211,Photo,2017-05-28T01:50:59.000Z,2017,5,Suit trousers; Footwear; Trousers; Shoe; Peaked cap; Sleeve; Tie; Coat; Gesture; Hat,president_life,military,82
https://www.instagram.com/p/BxAcY3IA_zE/,57552111_588782691530512_7063401751390243477_n.jpg,‪We can all agree that AMERICA is now #1. We are the ENVY of the WORLD — and the best is yet to come!‬,7266,238874,Photo,2019-05-03T16:22:37.000Z,2019,5,Flag; Flag of the united states; Font; Poster; Flag Day (USA); Event; Rectangle; Electric blue; Holiday; Logo,american_nation,posters and screenshots,59
https://www.instagram.com/p/ByisdffBPFf/,61154935_2371460189578566_4804070977651265421_n.jpg,,9790,478506,Photo,2019-06-10T20:08:38.000Z,2019,6,Tie; Flag of the united states; Gesture; Flag; Thumb; Finger; Font; Happy; Suit; Sign language,#N/A,posters and screenshots,#N/A
https://www.instagram.com/p/BTmAdWqAm6w/,18251398_894275160711155_4310180628508180480_n.jpg,"#Repost @ivankatrump
・・・
Today I joined Vice President Pence and SBA Administrator Linda McMahon in a #SmallBusinessWeek celebration with this year's winner, Garrett Marrero from Maui Brewing Company, Hawaii. It is imperative that we continue to support and advance the interests of our country's entrepreneurs and small business owners!",977,72937,Photo,2017-05-02T14:47:53.000Z,2017,5,Trousers; Smile; Flag; Dress; Coat; Flag of the united states; Social group; Suit; Event; Stage equipment,economy,military,4
https://www.instagram.com/p/Bt1YnKeFpp7/,51050493_959253500933392_572663270112702419_n.jpg,"President Donald J. Trump waves as he bids farewell to Colombian President Iván Duque Márquez and his wife Mrs. Maria Juliana Ruiz Sandoval Wednesday, Feb. 13, 2019, in the West Wing Lobby Entrance of the @WhiteHouse.",2261,192073,Photo,2019-02-13T19:43:47.000Z,2019,2,Automotive parking light; Land vehicle; Car; Vehicle; Plant; Tire; Grille; Hood; Vehicle registration plate; Automotive lighting,international_relations,vehicles,118
,122930571_1583218431868692_8087128444641881352_n.jpg,,4438,242285,Video,2020-10-30T00:25:59.000Z,2020,10,Textile; Sleeve; Orange; Curtain; Gesture; Flag; Tints and shades; Electric blue; Flag of the united states; Event,#N/A,#N/A,#N/A
,43172919_708551036198393_1943168660229792014_n.jpg,"WOW - I LOVE YOU MACON, GEORGIA! Every single one of you needs to get out and VOTE on TUESDAY!!!",2249,94653,Video,2018-11-04T21:34:37.000Z,2018,11,Hand; Product; Human; Gesture; Finger; Crowd; Red; Fan; Leisure; Event,#N/A,#N/A,#N/A
,52387800_301027987246937_4180544698265483134_n.jpg,"#Repost @marines
・・・
74 years ago today, Marines on Iwo Jima raised the flag atop Mount Suribachi.

Semper Fidelis.

#USMC #MarineCorps #Veterans #WWII #IwoJima #Military #OohRah #Marines #Pacific #Vets #history #veterans #remember #warriors #war #historical #anniversary",4581,180028,Video,2019-02-23T21:45:44.000Z,2019,2,Clothing; Hair; Forehead; Nose; Glasses; Chin; Smile; Outerwear; Eyebrow; Vision care,#N/A,#N/A,#N/A
https://www.instagram.com/p/BWOJGEmgF3W/,19762059_494797057526187_1155345403760082944_n.jpg,Thank you #Poland!,1745,125603,Photo,2017-07-06T21:55:45.000Z,2017,7,Shirt; Hat; Product; Human; Cap; Fan; Headgear; Crowd; T-shirt; Eyewear,greetings_condolences,rallies and public events,119
